Dataset,file_path,column,exists,null_count
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,M-CAP_score,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,M-CAP_rankscore,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,M-CAP_pred,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,REVEL_score,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,REVEL_rankscore,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,REVEL_pred,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,MutPred2_score,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,MutPred2_rankscore,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,MutPred2_pred,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,MVP_score,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,MVP_rankscore,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,MVP_pred,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,gMVP_score,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,gMVP_rankscore,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,gMVP_pred,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,MisFit_D_score,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,MisFit_D_rankscore,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,MisFit_D_pred_lenient,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,MPC_score,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,MPC_rankscore,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,MPC_pred,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,PrimateAI_score,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,PrimateAI_rankscore,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,PrimateAI_pred,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,BayesDel_addAF_score,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,BayesDel_addAF_rankscore,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,BayesDel_addAF_pred,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,BayesDel_noAF_score,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,BayesDel_noAF_rankscore,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,BayesDel_noAF_pred,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,ClinPred_score,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,ClinPred_rankscore,True,0
clinvarhq,D:/variant_data/clinvarhq_full_seq_after_vep_final.parquet,ClinPred_pred,True,0
