Dataset,Pooling,Ablation,DNA_Model,Prot_Model,Network,Accuracy,Precision,Recall,Specificity,F1_Score,MCC,AUROC,AUPRC
Train1Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esmc_600m,Hybrid_Gating_XGBoost,0.8293,0.8775,0.7615,0.8958,0.8154,0.6639,0.9156,0.9134
Train1Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esmc_600m,PyTorch_Concat,0.8236,0.9118,0.7126,0.9324,0.8,0.6622,0.9202,0.9218
Train1Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm1b_650m,PyTorch_CrossAttn,0.8265,0.8897,0.7414,0.9099,0.8088,0.6614,0.9118,0.9114
Train1Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esmc_600m,PyTorch_CrossAttn,0.8222,0.9145,0.7069,0.9352,0.7974,0.6605,0.9279,0.9287
Train1Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esm1b_650m,Hybrid_Transformer_XGBoost,0.8293,0.854,0.7902,0.8676,0.8209,0.6601,0.9052,0.9123
Train1Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esmc_600m,Pure_XGBoost_Concat,0.825,0.8893,0.7385,0.9099,0.8069,0.6588,0.9114,0.9162
Train1Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esm1b_650m,Hybrid_Concat_XGBoost,0.8265,0.8742,0.7586,0.893,0.8123,0.6581,0.9017,0.9073
Train1Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esm1b_650m,Pure_XGBoost_Concat,0.8265,0.8693,0.7644,0.8873,0.8135,0.6572,0.8933,0.8951
Train1Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esmc_600m,PyTorch_Gating,0.8208,0.9022,0.7155,0.9239,0.7981,0.6547,0.9252,0.9255
Train1Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esm1b_650m,PyTorch_Transformer,0.8208,0.8993,0.7184,0.9211,0.7987,0.6539,0.9072,0.9124
Train1Val_ClinVarHQ,center,prot,,esmc_600m,Pure_XGBoost_Concat,0.8236,0.8758,0.75,0.8958,0.808,0.6534,0.9053,0.9068
Train1Val_ClinVarHQ,center,prot,None,esmc_600m,Pure_XGBoost_Concat,0.8236,0.8758,0.75,0.8958,0.808,0.6534,0.9053,0.9068
Train1Val_ClinVarHQ,center,dna_prot,nt_v2_500m,esmc_600m,Pure_XGBoost_Concat,0.8222,0.8858,0.7356,0.907,0.8038,0.653,0.9033,0.9053
Train1Val_ClinVarHQ,center,dna_prot,nt_v1_500m,esm2_650m,Hybrid_Gating_XGBoost,0.8222,0.8832,0.7385,0.9042,0.8044,0.6524,0.9098,0.903
Train1Val_ClinVarHQ,center,prot,,esmc_600m,PyTorch_Concat,0.8179,0.9104,0.7011,0.9324,0.7922,0.6522,0.9255,0.9243
Train1Val_ClinVarHQ,center,prot,None,esmc_600m,PyTorch_Concat,0.8179,0.9104,0.7011,0.9324,0.7922,0.6522,0.9255,0.9243
Train1Val_ClinVarHQ,center,dna_prot,nt_v3_650m,esmc_600m,PyTorch_Transformer,0.8179,0.9074,0.704,0.9296,0.7929,0.6513,0.9271,0.9285
Train1Val_ClinVarHQ,mean,dna_prot,nt_v1_500m,esm1b_650m,Hybrid_Transformer_XGBoost,0.8236,0.859,0.7701,0.8761,0.8121,0.6503,0.8951,0.8906
