Dataset,Model,file_path,score_col,rankscore_col,pred_col,resolved_prob_col,resolved_prob_kind,resolved_threshold,pred_source,label_col
proteingym,gMVP,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,['gMVP_score'],['gMVP_rankscore'],['gMVP_pred'],gMVP_rankscore,rankscore,0.5,gMVP_pred,Label
proteingym,MisFit_D,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,['MisFit_D_score'],['MisFit_D_rankscore'],"['MisFit_D_pred_lenient', 'MisFit_D_pred']",MisFit_D_rankscore,rankscore,0.45,MisFit_D_pred_lenient,Label
proteingym,MPC,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,['MPC_score'],['MPC_rankscore'],['MPC_pred'],MPC_rankscore,rankscore,0.5,MPC_pred,Label
proteingym,PrimateAI,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,['PrimateAI_score'],['PrimateAI_rankscore'],['PrimateAI_pred'],PrimateAI_rankscore,rankscore,0.803,PrimateAI_pred,Label
proteingym,BayesDel_addAF,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,['BayesDel_addAF_score'],['BayesDel_addAF_rankscore'],['BayesDel_addAF_pred'],BayesDel_addAF_rankscore,rankscore,0.0692655,BayesDel_addAF_pred,Label
proteingym,BayesDel_noAF,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,['BayesDel_noAF_score'],['BayesDel_noAF_rankscore'],['BayesDel_noAF_pred'],BayesDel_noAF_rankscore,rankscore,-0.0570105,BayesDel_noAF_pred,Label
proteingym,ClinPred,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,['ClinPred_score'],['ClinPred_rankscore'],['ClinPred_pred'],ClinPred_rankscore,rankscore,0.5,ClinPred_pred,Label
proteingym,LIST-S2,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,['LIST-S2_score'],['LIST-S2_rankscore'],['LIST-S2_pred'],LIST-S2_rankscore,rankscore,0.85,LIST-S2_pred,Label
proteingym,VARITY_R,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,['VARITY_R_score'],['VARITY_R_rankscore'],['VARITY_R_pred'],VARITY_R_rankscore,rankscore,0.5,VARITY_R_pred,Label
proteingym,VARITY_ER,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,['VARITY_ER_score'],['VARITY_ER_rankscore'],['VARITY_ER_pred'],VARITY_ER_rankscore,rankscore,0.5,VARITY_ER_pred,Label
proteingym,AlphaMissense,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,['AlphaMissense_score'],['AlphaMissense_rankscore'],['AlphaMissense_pred'],AlphaMissense_rankscore,rankscore,0.5,AlphaMissense_pred,Label
proteingym,PHACTboost,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,['PHACTboost_score'],['PHACTboost_rankscore'],['PHACTboost_pred'],PHACTboost_rankscore,rankscore,0.62,PHACTboost_pred,Label
proteingym,MutFormer,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,['MutFormer_score'],['MutFormer_rankscore'],['MutFormer_pred'],MutFormer_rankscore,rankscore,0.8838,MutFormer_pred,Label
proteingym,popEVE,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,['popEVE_score'],"['popEVE_converted_rankscore', 'popEVE_rankscore']",['popEVE_pred'],popEVE_converted_rankscore,rankscore,0.5,popEVE_pred,Label
proteingym,CADD,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,"['CADD_raw', 'CADD_phred']",['CADD_raw_rankscore'],['CADD_pred'],CADD_raw_rankscore,rankscore,0.5,CADD_pred,Label
proteingym,DANN,D:/variant_data/proteingym_full_seq_after_vep_final.parquet,['DANN_score'],['DANN_rankscore'],['DANN_pred'],DANN_rankscore,rankscore,0.5,DANN_pred,Label
